Name,Disaster,Begin Date,End Date,Summary,CPI-Adjusted Cost,Deaths
Georgia Flooding (September 2009),Flooding,19/09/2009,22/09/2009,"Severe multi-day flooding across numerous Georgia counties including all of the Atlanta metro. The maximum 24-hour rainfall total for September 20-21, 2009 was 21.03 inches in Douglas County. This extreme rainfall caused widespread flooding and damage to thousands of homes, businesses and vehicles. There was significant infrastructure damage across the region from this major flooding event including 20 river gages that went underwater and stopped reporting.",1.3,10
Colorado Hail Storm (July 2009),Severe Storm,20/07/2009,20/07/2009,"Severe hail impacts Colorado. Jefferson County was most affected with hail at least 8 inches deep. The hail damage from this storm was comparable to the July 11, 1990 Colorado hail storm.",1.5,0
"Midwest, South and East Severe Weather (June 2009)",Severe Storm,09/06/2009,12/06/2009,"Sustained outbreak of thunderstorms and high winds from a strong derecho event over the central, southern, and eastern states (TX, OK, MO, NE, KS, AR, AL, MS, TN, NC, SC, KY, PA).",1.9,0
Central Derecho and Tornadoes (May 2009),Severe Storm,07/05/2009,09/05/2009,"More than 50 tornadoes and large hail from severe storms caused damage across many southeastern states (IL, KS, KY, MO, TN, TX).",1.3,7
South/Southeast Severe Weather and Tornadoes (April 2009),Severe Storm,09/04/2009,10/04/2009,"Outbreak of tornadoes, hail and severe thunderstorms over the south and southeastern states (AL, AR, GA, KY, MO, SC, TN) with 85 confirmed tornadoes.",2.1,6
Midwest/Southeast Tornadoes (March 2009),Severe Storm,25/03/2009,28/03/2009,"Outbreak of tornadoes over central and southern states (NE, KS, OK, IA, TX, LA, MS, AL, GA, TN, KY) with 56 tornadoes confirmed.",2.4,0
Southeast/Ohio Valley Severe Weather (February 2009),Severe Storm,10/02/2009,11/02/2009,"Complex of severe thunderstorms and high winds across the region (TN, KY, OK, OH, VA, WV, PA).",2.6,10
U.S. Drought (2008),Drought,01/01/2008,31/12/2008,"Severe drought and heat caused agricultural losses across a large portion of the U.S. Record low lake levels also occurred in areas of the southeast. The states impacted include AL, AR, CA, CO, GA, ID, IN, KS, KY, MD, MN, MS, MT, NC, ND, NJ, NM, OH, OK, OR, SC, TN, TX, UT, VA, WA and WI.",10.4,0
U.S. Wildfires (Fall 2008),Wildfire,01/09/2008,30/11/2008,"Drought conditions across numerous western, central and southeastern states (AK, AZ, CA, NM, ID, UT, MT, NV, OR, WA, CO, TX, OK, NC, FL ) resulted in thousands of wildfires; national acreage burned exceeding 5.2 million acres (mainly in the west) and over 1,000 homes and structures destroyed in California fires alone.",1.8,16
Hurricane Ike (September 2008),Tropical Cyclone,12/09/2008,14/09/2008,"Category 2 hurricane makes landfall in Texas, as the largest (in size) Atlantic hurricane on record, causing considerable storm surge in coastal TX and significant wind and flooding damage in TX, LA, AR, TN, IL, IN, KY, MO, OH, MI and PA. Severe gasoline shortages occurred in the southeast U.S. due to damaged oil platforms, storage tanks, pipelines and off-line refineries.",42.9,112
Hurricane Gustav (September 2008),Tropical Cyclone,31/08/2008,03/09/2008,"Category 2 hurricane makes landfall in Louisiana causing significant wind, storm surge, and flooding damage in AL, AR, LA, and MS.",8.6,53
Hurricane Dolly (July 2008),Tropical Cyclone,23/07/2008,25/07/2008,Category 2 hurricane makes landfall in southern Texas causing considerable wind and flooding damage in TX and NM.,1.8,3
Midwest Flooding (Summer 2008),Flooding,01/04/2008,30/06/2008,"Heavy rain and flooding caused significant agricultural loss and property damage in IA, IL, IN, MO, MN, NE, and WI with IA being hardest hit with widespread rainfall totals ranging from 4 to over 16 inches.",14.7,24
Midwest/Mid-Atlantic Severe Weather (June 2008),Severe Storm,06/06/2008,12/06/2008,"An outbreak of tornadoes and thunderstorms over the Midwest/Mid-Atlantic states (IA, IL, IN, KS, NE, MI, MN, MO, OK, WI, MD, VA, WV).",2.3,18
Midwest Tornadoes and Severe Weather (May 2008),Severe Storm,22/05/2008,27/05/2008,"Outbreak of tornadoes over the Midwest/Ohio Valley regions (IL, IN, IA, KS, MN, NE, OK, WY, CO) with 235 tornadoes confirmed.",4.4,13
Southern Severe Weather (April 2008),Severe Storm,09/04/2008,11/04/2008,"Severe storms affect Arkansas, Oklahoma and Texas across the South.",1.5,2
Southeast Tornadoes (March 2008),Severe Storm,14/03/2008,15/03/2008,Tornadoes and severe weather across Georgia and South Carolina. This includes an EF-2 tornado causing damage to numerous buildings in downtown Atlanta.,1.7,5
Southeast Tornadoes and Severe Weather (February 2008),Severe Storm,05/02/2008,06/02/2008,"Series of tornadoes and severe thunderstorms across the Southeast and Midwest states (AL, AR, IN, KY, MS, OH, TN, TX) with 87 tornadoes confirmed.",1.8,57
"Western, Central and Northeast Severe Weather (January 2008)",Severe Storm,04/01/2008,09/01/2008,"Strong storm produces severe weather including hail, high winds and heavy precipitation from California to New York. Flash floods and landslides cause damage in California. In addition, more than 70 tornadoes were reported from Arkansas to Wisconsin, with the highest concentration of tornadoes in Missouri.",1.5,12
Western/Eastern Drought/Heat Wave (Summer-Fall 2007),Drought,01/06/2007,30/11/2007,"Severe drought with periods of extreme heat over most of the southeast and portions of the Great Plains, Ohio Valley, and Great Lakes area, resulting in major reductions in crop yields, along with very low stream-flows and lake levels. Includes states of ND, SD, NE, KS, OK, TX, MN, WI, IA, MO, AR, LA, MS, AL, GA, NC, SC, FL, TN, VA, WV, KY, IN, IL, OH, MI, PA, NY.",5.4,15
Western Wildfires (Summer 2007),Wildfire,01/06/2007,31/08/2007,"Continued drought conditions and high winds over much of the western U.S. (AK, AZ, CA, ID, UT, MT, NV, OR, WA) resulting in numerous wildfires; with national acreage burned exceeding 8.9 million acres (mainly in the west) and over 3,000 homes and structures destroyed in southern California alone.",4.1,12
East/South Severe Weather and Flooding (April 2007),Severe Storm,13/04/2007,17/04/2007,"Flooding, hail, tornadoes, and severe thunderstorms across numerous states (CT, DE, GA, LA, ME, MD, MA, MS, NH, NJ, NY, NC, PA, RI, SC, TX, VT, VA) in mid-April, including 3 ""killer"" tornadoes.",3.8,9
Spring Freeze (April 2007),Freeze,04/04/2007,10/04/2007,"Widespread severe freeze over much of the east and midwest (AL, AR, GA, IA, IL, IN, KS, KY, MO, MS, NC, NE, OH, OK, SC, TN, VA, WV), causing significant losses in fruit crops, field crops (especially wheat), and the ornamental industry. Temperatures in the teens/20s accompanied by rather high winds nullified typical crop-protection systems.",3.1,0
California Freeze (January 2007),Freeze,11/01/2007,17/01/2007,"Widespread agricultural freeze -- for nearly two weeks in January, overnight temperatures over a good portion of California dipped into the 20s, destroying numerous agricultural crops; with citrus, berry, and vegetable crops most affected.",2.2,1
Numerous Wildfires (2006),Wildfire,01/01/2006,31/12/2006,"Numerous wildfires driven by dry weather and high winds burned over 9.8 million acres, across the western half of the country including Alaska. This is the second highest annual total behind the 10.1 million acres burned in 2015 since record-keeping began in 1960. The most affected states were AK, AZ, CA, CO, FL, ID, MT, NM, NV, OK, OR, TX, WA, WY",2.3,28
Central Severe Weather (October 2006),Severe Storm,02/10/2006,05/10/2006,"Severe storms cause high wind and hail damage across numerous states including OH, IL, IN, MI, MN and WI.",1.4,1
Midwest/Plains/Southeast Drought (Spring-Summer 2006),Drought,01/03/2006,31/08/2006,"Rather severe drought affected crops especially during the spring-summer, centered over the Great Plains region with other areas affected across portions of the south -- including states of ND, SD, NE, KS, OK, TX, MN, IA, MO, AR, LA, MS, AL, GA, FL, MT, WY, CO, NM.",9.5,0
North Central Severe Weather and Tornadoes (August 2006),Severe Storm,23/08/2006,24/08/2006,"Severe weather and tornadoes cause impacts across several north central states including Minnesota, Wisconsin, Indiana and Illinois.",1.2,1
Northeast Flooding (June 2006),Flooding,25/06/2006,28/06/2006,"Severe flooding over portions of the northeast due to several weeks of heavy rainfall, affecting the states of NY, PA, DE, MD, NJ, and VA.",2.3,20
Midwest Tornadoes (April 2006),Severe Storm,13/04/2006,16/04/2006,"Tornadoes and severe weather cause significant damage in the states of IA, IL, IN, and WI. The state of Indiana was most affected with over one billion dollars in damage.",3.8,27
"Midwest/Southeast Tornadoes (April 6-8, 2006)",Severe Storm,06/04/2006,08/04/2006,"Severe weather and numerous tornadoes affecting the states of OK, KS, MO, NE, KY, OH, TN, IN, MS, GA, and AL on April 6-8 with 3 ""killer"" tornadoes in TN.",2.5,10
Severe Storms and Tornadoes (March 2006),Severe Storm,08/03/2006,13/03/2006,"Outbreak of tornadoes over portions of the midwest and south during a week-long period-affecting the states of AL, AR, KY, MS, TN, TX, IN, KS, MO, and OK.",2.1,10
Hurricane Wilma (October 2005),Tropical Cyclone,24/10/2005,24/10/2005,"Category 3 hurricane hits SW Florida resulting in strong damaging winds and major flooding across southeastern Florida. Prior to landfall, Wilma as a Category 5 recorded the lowest pressure (882 mb) ever recorded in the Atlantic basin.",29.8,35
Hurricane Rita (September 2005),Tropical Cyclone,20/09/2005,24/09/2005,"Category 3 hurricane hits Texas-Louisiana border coastal region, creating significant storm surge and wind damage along the coast, and some inland flooding in the FL panhandle, AL, MS, LA, AR, and TX. Prior to landfall, Rita reached the third lowest pressure (897 mb) ever recorded in the Atlantic basin.",29.0,119
Midwest Drought (Spring-Summer 2005),Drought,01/03/2005,31/08/2005,"Rather severe localized drought causes significant crop losses (especially for corn and soybeans) in the states of AR, IL, IA, IN, MO, OH, and WI.",2.4,0
Hurricane Katrina (August 2005),Tropical Cyclone,25/08/2005,30/08/2005,"Category 3 hurricane initially impacts the U.S. as a Category 1 near Miami, FL, then as a strong Category 3 along the eastern LA-western MS coastlines, resulting in severe storm surge damage (maximum surge probably exceeded 30 feet) along the LA-MS-AL coasts, wind damage, and the failure of parts of the levee system in New Orleans. Inland effects included high winds and some flooding in the states of AL, MS, FL, TN, KY, IN, OH, and GA.",198.8,"1,833"
Hurricane Dennis (July 2005),Tropical Cyclone,09/07/2005,11/07/2005,"Category 3 hurricane makes landfall in western Florida panhandle resulting in storm surge and wind damage along the FL and AL coasts, along with scattered wind and flood damage in GA and MS.",4.0,15
Southeast Severe Weather (March 2005),Severe Storm,24/03/2005,27/03/2005,"Severe storms cause widespread hail damage across numerous states including TX, AL, MS, GA, FL, NC and VA.",1.4,0
Hurricane Jeanne (September 2004),Tropical Cyclone,15/09/2004,29/09/2004,"Category 3 hurricane makes landfall in east-central Florida, causing considerable wind, storm surge, and flooding damage in FL, with some flood damage also in the states of GA, SC, NC, VA, MD, DE, NJ, PA, and NY. Puerto Rico also affected.",12.3,28
Hurricane Ivan (September 2004),Tropical Cyclone,12/09/2004,21/09/2004,"Category 3 hurricane makes landfall on Gulf coast of Alabama, with significant wind, storm surge, and flooding damage in coastal AL and FL panhandle, along with wind/flood damage in the states of GA, MS, LA, SC, NC, VA, WV, MD, TN, KY, OH, DE, NJ, PA, and NY.",33.6,57
Hurricane Frances (September 2004),Tropical Cyclone,03/09/2004,09/09/2004,"Category 2 hurricane makes landfall in east-central Florida, causing significant wind, storm surge, and flooding damage in FL, along with considerable flood damage in the states of GA, SC, NC, and NY due to 5-15 inch rains.",16.1,48
Hurricane Charley (August 2004),Tropical Cyclone,13/08/2004,14/08/2004,"Category 4 hurricane makes landfall in southwest Florida, resulting in major wind and some storm surge damage in FL, along with some damage in the states of SC and NC.",26.4,35
Colorado Hail Storms (June 2004),Severe Storm,08/06/2004,09/06/2004,"Several hailstorms across central and eastern Colorado cause widespread damage to many homes, businesses and vehicles.",1.1,0
"Severe Storms, Hail, Tornadoes (May 2004)",Severe Storm,21/05/2004,27/05/2004,"Severe storms including tornadoes and hail cause damage across the Midwest, South, Southeast and Northeast regions. The states impacted include IA, IL, IN, KY, MI, MO, NC, NE, NY, OK, OH and WI.",1.7,4
California Wildfires (Fall 2003),Wildfire,01/09/2003,30/11/2003,"Dry weather, high winds, and resulting wildfires in Southern California burned over 3,700 homes. Nearly 4.0 million acres burned across numerous western states including Alaska.",6.6,22
Western/Central Drought/Heat Wave (Spring-Fall 2003),Drought,01/03/2003,30/11/2003,"2003 drought across western and central portions of the U.S. with losses to agriculture. The states most impacted include AZ, CO, IA, ID, IL, KS, MI, MN, MO, MT, ND, NE, NM, OR, SD, WA and WI.",8.6,35
Hurricane Isabel (September 2003),Tropical Cyclone,18/09/2003,19/09/2003,"Category 2 hurricane makes landfall in eastern North Carolina, causing considerable storm surge damage along the coasts of NC, VA, and MD, with wind damage and some flooding due to 4-12 inch rains in NC, VA, MD, DE, WV, NJ, NY, and PA.",9.3,55
Southern Derecho and Eastern Severe Weather (July 2003),Severe Storm,21/07/2003,23/07/2003,"Derecho across several southern states with the most focused damage across the Memphis, Tennessee metro area. Severe storms impact states across the South, Southeast, Midwest and Northeast regions including AR, AL, MS, GA, FL, SC, TN, KY, MI, NY, OH, PA and VT.",1.7,7
Midwest/Plains Severe Weather (July 2003),Severe Storm,04/07/2003,09/07/2003,"Severe storms affect the states IA, IL, IN, MI, MN, OH, VA, WV across the Midwest and Plains.",1.5,7
Severe Storms/Tornadoes (May 2003),Severe Storm,03/05/2003,10/05/2003,"Numerous tornadoes over the midwest, Mississippi valley, OH/TN valleys, and portions of the southeast, with a modern record one-week total of approximately 400 tornadoes reported",7.0,51
Severe Storms/Hail (April 2003),Severe Storm,04/04/2003,07/04/2003,"Severe storms and large hail over the southern plains and lower MS valley, with Texas hardest hit, and much of the monetary losses due to hail.",3.4,3
Western Fire Season (Fall 2002),Wildfire,01/09/2002,30/11/2002,"Major wildfires over 11 western states from the Rockies to the west coast due to drought and periodic high winds, with over 7.1 million acres burned.",2.3,21
U.S. Drought (Spring-Fall 2002),Drought,01/03/2002,30/11/2002,"Moderate to extreme drought over large portions of more than 30 states, including the western states, the Great Plains, and much of the eastern U.S.",15.9,0
Eastern Tornadoes and Severe Storms (November 2002),Severe Storm,09/11/2002,11/11/2002,"Tornado outbreak of over 100 tornadoes across many eastern states causes widespread damage (AL, MS, GA, TN, KY, OH, PA). Tennessee and Ohio had the highest count of tornadoes.",1.2,28
Tropical Storm Isidore (September 2002),Tropical Cyclone,25/09/2002,27/09/2002,"Tropical Storm Isidore caused heavy rain, flooding, tornadoes and coastal storm surge that impacted Louisiana, Mississippi, Alabama and Tennessee. Rainfall exceeded 15 inches across southern Louisiana with storm surge over 8 feet.",2.0,5
Hurricane Lili (October 2002),Tropical Cyclone,01/08/2002,05/08/2002,"Category 1 hurricane makes landfall in Louisiana after causing damage across Saint Lucia, Jamaica, Haiti and Cuba.",1.9,2
Severe Storms and Tornadoes (April 2002),Severe Storm,27/04/2002,28/04/2002,"Numerous tornadoes and widespread hail damage over the Central and Eastern states including NC, GA, VA, TX, AR, MO, MS, TN, IL, IN, KY, PA, MD, NY, OH, WV, and KS.",3.6,7
Tropical Storm Allison (June 2001),Tropical Cyclone,05/06/2001,17/06/2001,"The persistent remnants of Tropical Storm Allison produce rainfall amounts of 30-40 inches in portions of coastal Texas and Louisiana, causing severe flooding especially in the Houston area, then moves slowly northeastward; fatalities and significant damage reported in TX, LA, MS, FL, VA, and PA",14.9,43
North Central Severe Weather (May 2001),Severe Storm,30/04/2001,01/05/2001,"Severe weather produced impacts across several north central states including Minnesota, Wisconsin, Iowa and Nebraska.",1.2,0
Midwest/Ohio Valley Hail and Tornadoes (April 2001),Severe Storm,06/04/2001,11/04/2001,"Storms, tornadoes, and hail in the states of TX, OK, KS, NE, IA, MO, IL, IN, WI, MI, OH, KY, WV, and PA, over a 6-day period.",5.5,3
Western/Central/Southeast Drought/Heat Wave (Spring-Fall 2000),Drought,01/03/2000,30/11/2000,"Western/Central/Southeast Drought/Heat Wave. The states impacted include AZ, AL, AR, CA, CO, FL, GA, IA, KS, LA, MS, MT, NE, NM, OK, OR, SC, TN, and TX.",9.2,140
South Florida Flooding (October 2000),Flooding,03/10/2000,04/10/2000,Heavy rainfall up to 15 inches affected south Florida surrounding Miami that resulted in severe flooding that damaged thousands of homes and businesses. There was also several hundred million in damage done to agriculture.,1.6,3
Western Fire Season (Spring-Summer 2000),Wildfire,01/03/2000,31/08/2000,"Severe wildfire season in the western states due to drought and frequent winds, with nearly 7 million acres burned.",2.0,0
Southern Severe Weather (March 2000),Severe Storm,28/03/2000,29/03/2000,"Severe weather produced tornadoes, hail and high wind damage across Louisiana and Texas. The damage was most focused in northeastern Texas. These storms caused impacts to many homes, vehicles and businesses.",1.3,0
Southeast Winter Storm (January 2000),Winter Storm,21/01/2000,24/01/2000,"Strong winter storm causes disruption and damage over numerous southeastern states (AL, GA, NC, SC, TN, LA, VA). Record amounts of snowfall occured across central North Carolina, with snow totals in excess of 20 inches.",1.3,4
Hurricane Floyd (September 1999),Tropical Cyclone,14/09/1999,16/09/1999,"Large, category 2 hurricane makes landfall in eastern NC, causing 10-20 inch rains in 2 days, with severe flooding in NC and some flooding in SC, VA, MD, PA, NY, NJ, DE, RI, CT, MA, NH, and VT.",12.1,77
Eastern Drought/Heat Wave (Summer 1999),Drought,01/06/1999,31/08/1999,"Very dry summer and high temperatures, mainly in eastern U.S., with extensive agricultural losses. The states impacted include AL, AR, FL, GA, KY, LA, MD, MS, NC, NJ, OH, SC, TN, VA, WV and PA.",4.7,502
Oklahoma and Kansas Tornadoes (May 1999),Severe Storm,03/05/1999,06/05/1999,"Outbreak of F4-F5 tornadoes hit the states of Oklahoma and Kansas, along with Texas and Tennessee, Oklahoma City area hardest hit.",3.8,55
Central and Eastern Winter Storm (Mid-January 1999),Winter Storm,13/01/1999,16/01/1999,"Winter storm affecting the Central and Eastern states including IL, IN, OH, MI, WV, VA, MD, PA, NJ, NY, MA, CT, VT, NH and ME.",1.7,0
Central and Eastern Winter Storm (January 1999),Winter Storm,01/01/1999,04/01/1999,"South, Southeast, Midwest, Northeast affected by damaging winter storm",2.0,25
California Freeze (December 1998),Freeze,20/12/1998,28/12/1998,A severe freeze damaged fruit and vegetable crops in the Central and Southern San Joaquin Valley. Extended intervals of sub 27° F temperatures occurred over an 8-day period.,4.8,0
Texas Flooding (October 1998),Flooding,16/10/1998,24/10/1998,"Severe flooding in southeast Texas from 2 heavy rain events, with 10-20 inch rainfall totals",1.8,31
Hurricane Georges (September 1998),Tropical Cyclone,20/09/1998,29/09/1998,"Category 2 hurricane strikes Puerto Rico, Virgin Islands, Florida Keys, and Gulf coasts of Louisiana, Mississippi, Alabama, and Florida panhandle, 15-30 inch 2-day rain totals in parts of Alabama and Florida",11.4,16
Southern Drought and Heat Wave (Summer 1998),Drought,01/06/1998,31/08/1998,"Severe drought and heat wave from Texas/Oklahoma eastward to the Carolinas. The states impacted include AL, AR, FL, GA, LA, MS, NC, OK, SC, TN, TX, and VA.",6.8,200
Hurricane Bonnie (August 1998),Tropical Cyclone,27/08/1998,29/08/1998,"Category 3 hurricane strikes eastern North Carolina and Virginia, extensive agricultural damage due to winds and flooding, with 10-inch rains in 2 days in some locations.",1.9,3
Tropical Storm Frances (September 1998),Tropical Cyclone,08/08/1998,13/08/1998,Tropical Storm Frances caused extensive flooding in Texas and Louisiana. The rainfall totals from Frances were 10 to 20 inches across eastern Texas into southern Louisiana.,1.3,2
Central and Eastern Severe Storms and Flooding (June 1998),Severe Storm,20/06/1998,24/06/1998,"Severe storms and flooding impact numerous Central and Eastern states. In particular, these storms and floods affected many residences and businesses throughout north-central and eastern Ohio. More than 7,000 homes were affected and more than 1,000 structures were completely destroyed or declared uninhabitable.",1.7,12
"Northern Plains and Great Lakes Derecho, Tornadoes (June 1998)",Severe Storm,30/05/1998,02/06/1998,"Severe storms in late May through early June hit the Midwest, North, Northeast, and Southeast",2.2,20
Minnesota Severe Storms/Hail (May 1998),Severe Storm,15/05/1998,15/05/1998,Very damaging severe thunderstorms with large hail over wide areas of Minnesota,3.1,1
Western/Eastern Severe Weather and Flooding (Winter-Spring 1998),Severe Storm,01/12/1997,28/02/1998,"Tornadoes and flooding cause damage across the West and Southeast. The states impacted include CA, TX, FL, AL, GA, LA, MS, NC and SC.",1.9,132
Northeast Ice Storm (January 1998),Winter Storm,05/01/1998,09/01/1998,"Intense ice storm hits Maine, New Hampshire, Vermont, and New York, with extensive forestry losses",2.7,16
Northern Plains Flooding (Spring 1997),Flooding,03/02/1997,24/05/1997,"Severe flooding in North Dakota, South Dakota and Minnesota due to heavy spring snow melt. This flooding caused widespread damage to agriculture, infrastructure, homes and businesses.",7.2,11
Mississippi and Ohio Valley Severe Weather and Flooding (March 1997),Severe Storm,28/02/1997,05/03/1997,"Tornadoes and severe flooding hit the states of AR, MO, MS, TN, IL, IN, KY, OH, and WV, with over 10 inches of rain in 24 hours in Louisville.",1.9,67
West Coast Flooding (December 1996-January 1997),Flooding,01/01/1997,11/01/1997,"Torrential rains (10-40 inches in 2 weeks) and snowmelt produce severe flooding over portions of CA, WA, OR, ID, NV, and MT.",5.9,36
New England Flooding (October 1996),Flooding,19/10/1996,22/10/1996,"The flooding damaged homes, businesses, vehicles and other infrastructure. Factories and mills in Lawrence, Haverhill and Lowell, Massachusetts were severely impacted. A total of 81 bridges needed to be rebuilt after to flood on area lakes and rivers. Communities such as Ocean Park, Old Orchard Beach and Westbrook were severely flooded. Communitites in southern Maine were aslo significantly damaged by floodwaters destroying homes, businesses and washing out raods, bridges and dams.",1.3,1
Hurricane Fran (September 1996),Tropical Cyclone,05/09/1996,08/09/1996,"Category 3 hurricane strikes North Carolina and Virginia, over 10-inch 24-hour rains in some locations and extensive agricultural and other losses.",9.9,37
Southern Plains Drought (Spring-Summer 1996),Drought,01/03/1996,31/08/1996,Severe drought in agricultural regions of southern plains--Texas and Oklahoma most severely affected,3.6,0
Pacific Northwest Severe Flooding (February 1996),Flooding,07/02/1996,12/02/1996,"Very heavy, persistent rains (10-30 inches) and melting snow over OR, WA, ID, and western MT.",2.0,9
Blizzard/Floods (January 1996),Winter Storm,01/01/1996,31/01/1996,"Very heavy snowstorm (1-4 feet) over Appalachians, Mid-Atlantic, and Northeast; followed by severe flooding in parts of same area due to rain and snowmelt.",6.1,187
Hurricane Opal (October 1995),Tropical Cyclone,04/10/1995,06/10/1995,"Category 3 hurricane strikes Florida panhandle, Alabama, western Georgia, eastern Tennessee, and the western Carolinas, causing storm surge, wind, and flooding damage.",9.5,27
"Central, Southern and Northeast Drought/Heat Wave (September 1995)",Drought,01/07/1995,30/09/1995,"Historic mid-July heat wave and urban heat island amplification caused hundreds of deaths across several major cities including Chicago, Milwaukee, and Philadelphia. Following the heat wave was hot, dry weather in July and August 1995 that affected crops in numerous states, as crops had not rooted well due to late planting from previous wet soils. This left crops vulnerable to a flash drought during a key portion of the growing season.",2.0,872
Hurricane Marilyn (September 1995),Tropical Cyclone,15/09/1995,17/09/1995,Category 2 hurricane impacts the U.S. Virgin Islands and Puerto Rico with maximum sustained winds of 110 mph.,4.3,13
Hurricane Erin (August 1995),Tropical Cyclone,01/08/1995,07/08/1995,"Hurricane Erin impacted Florida as a category 1 hurricane. Most of the damage resulted from heavy rainfall and flooding in Florida, Alabama and Mississippi.",1.7,6
South Plains Severe Weather (May 1995),Severe Storm,05/05/1995,07/05/1995,"Torrential rains, hail, and tornadoes across Texas-Oklahoma and southeast Louisiana-southern Mississippi, with Dallas and New Orleans areas (10-25 inch rains in 5 days) hardest hit.",11.2,32
Texas Hail Storm (April 1995),Severe Storm,28/04/1995,28/04/1995,"Texas hail storms cause considerable impacts to many homes, vehicles and crops. These hail impacts were focused from Waco to Fort Worth.",1.2,0
California Flooding (January-March 1995),Flooding,01/01/1995,31/03/1995,Frequent winter storms cause 20-70 inch rainfall and periodic flooding across much of California,5.2,27
Western Fire Season (Summer-Fall 1994),Wildfire,01/06/1994,30/11/1994,"Severe wildfire season in the western states due to dry weather conditions. The states most impacted include CA, AZ, OR, WA, CO, UT, NV, NM and TX.",1.5,0
Texas Flooding (October 1994),Flooding,16/10/1994,25/10/1994,Torrential rain (10-25 inches in 5 days) and thunderstorms cause flooding across much of southeast Texas,2.1,19
Tropical Storm Alberto (July 1994),Tropical Cyclone,07/07/1994,10/07/1994,"Remnants of slow-moving Alberto bring torrential 10-25 inch rains in 3 days, widespread flooding and agricultural damage in parts of Georgia, Alabama, and panhandle of Florida.",2.1,32
Midwest/Plains Tornadoes (April 1994),Severe Storm,25/04/1994,27/04/1994,"Tornadoes and severe storms cause damage in states across the South, Southeast and Midwest. The states impacted include TX, OK, AR, CO, KS, NE, IA, SD, IL, IN, MN and MO.",2.1,3
Southeast Ice Storm (February 1994),Winter Storm,08/02/1994,13/02/1994,"Intense ice storm with extensive damage in portions of TX, OK, AR, LA, MS, AL, TN, GA, SC, NC, and VA.",6.4,9
"Winter Storm, Cold Wave (January 1994)",Winter Storm,17/01/1994,20/01/1994,"Winter storm affects the Southeast and Northeast regions. The states impacted include CT, DE, IL, IN, KY, MA, MD, ME, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT and WV.",2.2,70
California Wildfires (Fall 1993),Wildfire,01/09/1993,30/11/1993,"Dry weather, high winds and wildfires in Southern California",2.9,4
Southeast Drought and Heat Wave (Summer 1993),Drought,01/06/1993,31/08/1993,"Drought and heat wave across Southeastern U.S. The states most impacted include AL, FL, GA, MD, NC, SC, TN, and VA.",2.8,16
Midwest Flooding (Summer 1993),Flooding,27/06/1993,15/08/1993,"Severe, widespread flooding in central U.S. due to persistent heavy rains and thunderstorms. There was extensive damage to agriculture, infrastructure, homes and businesses in many areas across several states. Many river stations also established new records for historical flood heights. This is the most costly non-tropical, inland flood event to affect the United States on record.",45.9,48
Northern Plains and Ohio Valley Severe Weather (July 1993),Severe Storm,08/07/1993,10/07/1993,"Severe storms caused high wind, hail and tornado damage across many Northern/Central Plains (NE, KS, MO, IA, MN, ND) and Ohio Valley states (IL, IN).",1.4,1
East Coast Blizzard and Severe Weather (March 1993),Winter Storm,11/03/1993,14/03/1993,"The ""Storm of the Century"" impacts the entire Eastern seaboard from Florida to Maine. This historic storm dumped 2-4 feet of snow and caused hurricane force winds across many Eastern and Northeastern states. This caused power outages to over 10 million households. Additional impacts included numerous tornadoes across Florida causing substantial damage. This was the most destructive and costly winter storm to affect the United States (since 1980), until it was surpassed by the February 2021 winter storm and cold wave.",12.0,270
Northeast Winter Storm (December 1992),Winter Storm,10/12/1992,13/12/1992,"Slow-moving winter storm batters northeast U.S. coast, with the New England region hardest hit. The states impacted include VA, MD, DE, PA, NJ, NY, CT, RI, MA and WV.",5.5,19
Southeast Severe Weather (November 1992),Severe Storm,21/11/1992,23/11/1992,"Three-day tornado outbreak strikes many Central and Eastern states including TX, LA, AL, MS, GA, AR, IN, OH, KY, TN, and NC. Major damage was reported across many areas, as more than 100 tornadoes were reported. This event remains one of the most prolific Fall season tornado outbreaks on record.",1.4,26
Hurricane Iniki (September 1992),Tropical Cyclone,11/09/1992,12/09/1992,Category 4 hurricane causes severe damage to the Hawaiian island of Kauai. Hurricane Iniki is the costliest and deadliest hurricane to affect Hawaii since 1900.,6.9,7
Hurricane Andrew (August 1992),Tropical Cyclone,23/08/1992,27/08/1992,"Category 5 hurricane hits Florida and later impacts Louisiana as a category 3. High winds damage or destroy over 125,000 homes and leave at least 160,000 people temporarily homeless in Dade County, Florida alone. Initially rated as a category 4, Andrew was later upgraded to a category 5 upon further analysis. Andrew is one of four land falling category 5 hurricanes on record to affect the U.S. mainland in addition to Hurricane Camille (1969), the Labor Day Hurricane (1935) and Hurricane Michael (2018). Building codes in Florida were enhanced after Andrew to mitigate future hurricane wind damage.",59.9,61
"Severe Storms, Hail (June 1992)",Severe Storm,19/06/1992,20/06/1992,Severe storms with hail hit Kansas and Oklahoma,1.7,0
"Hail, Tornadoes (April 1992)",Severe Storm,28/04/1992,29/04/1992,Severe Storms hit Oklahoma and Texas with tornadoes and hail,2.1,0
Severe Storms (March 1992),Severe Storm,24/03/1992,25/03/1992,"Severe storms affect the South, Southeast. The states most impacted include Texas, Louisiana and Florida.",1.8,0
